2025-11-16 23:40:43.094 | INFO     | Core.Utils.ComponentRegistry:register_component:273 - ✅ Registered component: graph_builder (general)
2025-11-16 23:40:43.095 | INFO     | Core.Utils.ComponentRegistry:register_component:273 - ✅ Registered component: document_processor (general)
2025-11-16 23:40:47.073 | INFO     | Core.Utils.ComponentRegistry:register_component:273 - ✅ Registered component: index_manager (general)
2025-11-16 23:40:47.074 | INFO     | Core.Utils.ComponentRegistry:register_component:273 - ✅ Registered component: query_processor (general)
2025-11-16 23:40:47.075 | INFO     | Core.Utils.ComponentRegistry:register_component:273 - ✅ Registered component: storage_manager (general)
2025-11-16 23:40:47.385 | INFO     | Core.Engine.GraphRAGEngine:process_documents:190 - 🚀 Starting document processing workflow
2025-11-16 23:41:25.132 | INFO     | Core.Common.Utils:prase_json_from_response:229 - JSON data successfully extracted.
2025-11-16 23:41:26.222 | WARNING  | Core.Common.Utils:prase_json_from_response:227 - No values could be extracted from the string.
2025-11-16 23:41:32.546 | INFO     | Core.Storage.NetworkXStorage:_persist:164 - Writing graph to ./Data/GraphRAG-Bench2/er_graph/graph_nx_data.graphml
2025-11-16 23:41:32.546 | INFO     | Core.Storage.NetworkXStorage:_write_nx_graph:86 - Writing graph with 43 nodes, 30 edges
2025-11-16 23:41:32.548 | INFO     | Core.Graph.GraphBuilderFactory:_save_graph_to_cache:89 - Saved graph to cache: ./Data/GraphRAG-Bench2/er_graph/graph_nx_data.graphml
2025-11-16 23:41:32.809 | INFO     | Core.Engine.GraphRAGEngine:_build_retriever_context:270 - 🔧 Building retrieval context
2025-11-16 23:41:32.817 | INFO     | Core.Engine.GraphRAGEngine:process_documents:238 - ✅ Document processing workflow completed
2025-11-16 23:41:32.818 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: If the search space contains very deep branches wi...
2025-11-16 23:41:32.923 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:41:36.916 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:41:36.917 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: Depth-ﬁrst search always expands at least as many ...
2025-11-16 23:41:37.144 | WARNING  | Core.Retriever.BaseRetriever:_initialize_entity_chunk_count:185 - Entity-relationship matrices not available, skipping entity-chunk count initialization
2025-11-16 23:41:38.074 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:41:38.075 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: h(n)=0 is an admissible heuristic for the 8-puzzle...
2025-11-16 23:41:38.178 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:41:41.554 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:41:41.555 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: Breadth-ﬁrst search is complete even if zero step ...
2025-11-16 23:41:41.651 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:41:44.085 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:41:44.085 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: Assume that a rook can move on a chessboard any nu...
2025-11-16 23:41:44.186 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:41:46.953 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:41:46.953 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: Prim’s and Kruskal’s algorithms always return the ...
2025-11-16 23:41:47.980 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:41:47.981 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: The MST can be used to find the shortest path betw...
2025-11-16 23:41:48.082 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:41:50.737 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:41:50.738 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: Prim’s algorithm for computing the MST only works ...
2025-11-16 23:41:52.115 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:41:52.116 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: A∗ is of no use in robotics because percepts, stat...
2025-11-16 23:41:52.222 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:41:55.693 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:41:55.694 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: Greedy best-first search is neither complete nor o...
2025-11-16 23:41:55.799 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:41:58.422 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:41:58.423 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: When you delete an item from an unordered array, i...
2025-11-16 23:41:58.528 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:42:01.342 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:42:01.342 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: In an unordered array, it’s generally faster to fi...
2025-11-16 23:42:01.447 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:42:04.903 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:42:04.904 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: The base 2 logarithm of 100 is 2....
2025-11-16 23:42:05.015 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:42:06.390 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:42:06.390 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: The bubble sort always ends up comparing every ite...
2025-11-16 23:42:06.493 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:42:09.056 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
2025-11-16 23:42:09.056 | INFO     | Core.Engine.GraphRAGEngine:execute_query:570 - 🔍 Executing query: If there are N items, the bubble sort makes exactl...
2025-11-16 23:42:09.160 | WARNING  | Core.Retriever.BaseRetriever:_validate_input:247 - node_datas is empty
2025-11-16 23:42:12.870 | INFO     | Core.Engine.GraphRAGEngine:execute_query:575 - ✅ Query execution completed
